src/main/java/co/edu/unbosque/horizont/HorizontApplication.java:11:	UseUtilityClass:	UseUtilityClass: This utility class has a non-private constructor
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/ContactDTO.java:63:	FormalParameterNamingConventions:	FormalParameterNamingConventions: The method parameter name 'email_address' doesn't match '[a-z][a-zA-Z0-9]*'
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/ContactDTO.java:63:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'email_address' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/ContactDTO.java:63:	MethodNamingConventions:	MethodNamingConventions: The instance method name 'setEmail_address' doesn't match '[a-z][a-zA-Z0-9]*'
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/ContactDTO.java:72:	MethodNamingConventions:	MethodNamingConventions: The instance method name 'getPhone_number' doesn't match '[a-z][a-zA-Z0-9]*'
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/ContactDTO.java:81:	FormalParameterNamingConventions:	FormalParameterNamingConventions: The method parameter name 'phone_number' doesn't match '[a-z][a-zA-Z0-9]*'
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/ContactDTO.java:81:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'phone_number' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/ContactDTO.java:81:	MethodNamingConventions:	MethodNamingConventions: The instance method name 'setPhone_number' doesn't match '[a-z][a-zA-Z0-9]*'
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/ContactDTO.java:90:	MethodNamingConventions:	MethodNamingConventions: The instance method name 'getStreet_address' doesn't match '[a-z][a-zA-Z0-9]*'
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/ContactDTO.java:99:	FormalParameterNamingConventions:	FormalParameterNamingConventions: The method parameter name 'street_address' doesn't match '[a-z][a-zA-Z0-9]*'
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/ContactDTO.java:99:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'street_address' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/ContactDTO.java:99:	MethodNamingConventions:	MethodNamingConventions: The instance method name 'setStreet_address' doesn't match '[a-z][a-zA-Z0-9]*'
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/ContactDTO.java:117:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'city' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/ContactDTO.java:135:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'state' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/ContactDTO.java:144:	MethodNamingConventions:	MethodNamingConventions: The instance method name 'getPostal_code' doesn't match '[a-z][a-zA-Z0-9]*'
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/ContactDTO.java:153:	FormalParameterNamingConventions:	FormalParameterNamingConventions: The method parameter name 'postal_code' doesn't match '[a-z][a-zA-Z0-9]*'
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/ContactDTO.java:153:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'postal_code' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/ContactDTO.java:153:	MethodNamingConventions:	MethodNamingConventions: The instance method name 'setPostal_code' doesn't match '[a-z][a-zA-Z0-9]*'
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/ContactDTO.java:171:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'country' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/DisclosuresDTO.java:7:	CommentSize:	CommentSize: Comment is too large: Line too long
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/DisclosuresDTO.java:10:	AtLeastOneConstructor:	AtLeastOneConstructor: Each class should declare at least one constructor
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/DisclosuresDTO.java:10:	DataClass:	DataClass: The class 'DisclosuresDTO' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=8, WMC=8)
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/DisclosuresDTO.java:13:	CommentSize:	CommentSize: Comment is too large: Line too long
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/DisclosuresDTO.java:15:	FieldNamingConventions:	FieldNamingConventions: The field name 'is_control_person' doesn't match '[a-z][a-zA-Z0-9]*'
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/DisclosuresDTO.java:20:	FieldNamingConventions:	FieldNamingConventions: The field name 'is_affiliated_exchange_or_finra' doesn't match '[a-z][a-zA-Z0-9]*'
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/DisclosuresDTO.java:20:	LongVariable:	LongVariable: Avoid excessively long variable names like is_affiliated_exchange_or_finra
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/DisclosuresDTO.java:25:	FieldNamingConventions:	FieldNamingConventions: The field name 'is_politically_exposed' doesn't match '[a-z][a-zA-Z0-9]*'
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/DisclosuresDTO.java:25:	LongVariable:	LongVariable: Avoid excessively long variable names like is_politically_exposed
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/DisclosuresDTO.java:28:	CommentSize:	CommentSize: Comment is too large: Line too long
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/DisclosuresDTO.java:30:	FieldNamingConventions:	FieldNamingConventions: The field name 'immediate_family_exposed' doesn't match '[a-z][a-zA-Z0-9]*'
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/DisclosuresDTO.java:30:	LongVariable:	LongVariable: Avoid excessively long variable names like immediate_family_exposed
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/DisclosuresDTO.java:37:	MethodNamingConventions:	MethodNamingConventions: The instance method name 'isIs_control_person' doesn't match '[a-z][a-zA-Z0-9]*'
